source,target,value
Douglas-fir,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,6819755.196
Douglas-fir,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,5673339.426
Douglas-fir,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,4098552.234
Douglas-fir,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,2677555.32
Douglas-fir,Mediterranean California Mixed Evergreen Forest,2093426.7
Douglas-fir,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,1615422.738
Douglas-fir,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,1073928.996
Douglas-fir,Mediterranean California Mesic Mixed Conifer Forest and Woodland,766542.912
Ponderosa pine,Southern Rocky Mountain Ponderosa Pine Woodland,7899813.168
Ponderosa pine,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,6409650.6
Ponderosa pine,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,3620504.982
Ponderosa pine,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,2264838.006
Ponderosa pine,California Montane Jeffrey Pine-(Ponderosa Pine) Woodland,1034450.958
Lodgepole pine,Rocky Mountain Lodgepole Pine Forest,9721287.648
Lodgepole pine,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,1177508.424
Lodgepole pine,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,1076059.308
Lodgepole pine,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,671792.646
Lodgepole pine,North Pacific Seasonal Sitka Spruce Forest,409761.828
Aspen,Rocky Mountain Aspen Forest and Woodland,5105017.428
Aspen,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,802275.81
Aspen,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,751725.3
Aspen,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,534047.64
California mixed conifer,Mediterranean California Mesic Mixed Conifer Forest and Woodland,3114326.112
California mixed conifer,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,1495743.648
California mixed conifer,Mediterranean California Mixed Evergreen Forest,722592.684
California mixed conifer,Mediterranean California Red Fir Forest,511752.624
Grand fir,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,2017217.874
Grand fir,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,1257292.56
Grand fir,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,387845.766
Grand fir,Mediterranean California Mesic Mixed Conifer Forest and Woodland,334410.81
Western hemlock,North Pacific Mesic Western Hemlock-Silver Fir Forest,1234660.992
Western hemlock,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,598485.804
Western hemlock,North Pacific Seasonal Sitka Spruce Forest,548381.514
Western hemlock,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,496787.826
Western hemlock,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,386952.438
Blue oak,California Lower Montane Foothill Pine Woodland and Savanna,1077700.11
Blue oak,Mediterranean California Lower Montane Conifer Forest and Woodland,350724.036
Blue oak,Madrean Lower Montane Pine-Oak Forest and Woodland,268584.924
Blue oak,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,148978.206
Blue oak,California Lower Montane Blue Oak Woodland and Savanna,133098.324
Blue oak,Californian Ruderal Forest,120767.112
