source,target,value
Aspen,SAF 217: Aspen,27160994
Aspen,SAF 206: Engelmann Spruce-Subalpine Fir,5791770
Blue oak,SAF 250: Blue Oak-Digger Pine,6125120
Blue oak,SAF 246: California Black Oak,2271022
Blue oak,SAF 241: Western Live Oak,1260914
California mixed conifer,SAF 211: White Fir,14680270
California mixed conifer,SAF 243: Sierra Nevada Mixed Conifer,6737584
California mixed conifer,SAF 234: Douglas-Fir-Tanoak-Pacific Madrone,3254922
Douglas-fir,SAF 210: Interior Douglas-Fir,61112719
Douglas-fir,SAF 230: Douglas-Fir-Western Hemlock,25738626
Douglas-fir,SAF 213: Grand Fir,15463239
Douglas-fir,SAF 234: Douglas-Fir-Tanoak-Pacific Madrone,9429850
Engelmann spruce,SAF 206: Engelmann Spruce-Subalpine Fir,8844320
Engelmann spruce,SAF 210: Interior Douglas-Fir,836673
Engelmann spruce / subalpine fir,SAF 206: Engelmann Spruce-Subalpine Fir,21468670
Engelmann spruce / subalpine fir,SAF 208: Whitebark Pine,4210499
Grand fir,SAF 213: Grand Fir,10833620
Grand fir,SAF 210: Interior Douglas-Fir,6775803
Lodgepole pine,SAF 218: Lodgepole Pine,47800738
Lodgepole pine,SAF 210: Interior Douglas-Fir,7118283
Lodgepole pine,SAF 206: Engelmann Spruce-Subalpine Fir,5269416
Ponderosa pine,SAF 237: Interior Ponderosa Pine,81126893
Ponderosa pine,SAF 210: Interior Douglas-Fir,14636935
Subalpine fir,SAF 206: Engelmann Spruce-Subalpine Fir,11346143
Subalpine fir,SAF 208: Whitebark Pine,2223896
Western hemlock,SAF 226: Coastal True Fir-Hemlock,7304565
Western hemlock,SAF 230: Douglas-Fir-Western Hemlock,4933665
Western hemlock,SAF 223: Sitka Spruce,2470187
